iter	Passed	Remaining
474	644	712
475	645	710
476	646	708
477	647	706
478	647	704
479	648	702
480	649	700
481	650	698
482	651	697
483	652	695
484	653	693
485	653	691
486	654	689
487	655	688
488	656	686
489	657	684
490	658	682
491	659	681
492	660	679
493	661	677
494	662	675
495	663	673
496	664	672
497	664	670
498	665	668
499	666	666
500	667	664
501	667	662
502	668	660
503	669	658
504	670	656
505	670	654
506	671	652
507	672	651
508	673	649
509	674	647
510	675	646
511	676	644
512	676	642
513	677	640
514	678	639
515	679	637
516	680	635
517	681	633
518	681	631
519	682	630
520	683	628
521	684	626
522	685	625
523	686	623
524	687	621
525	688	620
526	689	618
527	690	617
528	691	615
529	692	613
530	693	612
531	694	610
532	695	609
533	696	607
534	697	606
535	698	604
536	699	603
537	700	601
538	701	600
539	703	598
540	704	597
541	705	596
542	706	594
543	707	592
544	708	591
545	709	589
546	710	588
547	711	586
548	712	585
549	713	583
550	714	582
551	715	580
552	717	579
553	718	578
554	719	576
555	720	575
556	721	574
557	722	572
558	724	571
559	725	570
560	727	569
561	728	567
562	730	566
563	731	565
564	733	564
565	734	563
566	736	562
567	737	560
568	738	559
569	739	558
570	740	556
571	742	555
572	743	554
573	745	553
574	746	551
575	748	550
576	749	549
577	751	548
578	752	547
579	753	545
580	755	544
581	756	543
582	757	541
583	759	540
584	762	540
585	763	539
586	765	538
587	766	537
588	767	535
589	769	534
590	770	533
591	771	531
592	773	530
593	774	529
594	775	528
595	777	526
596	779	526
597	780	524
598	781	523
599	782	521
600	784	520
601	785	519
602	786	517
603	787	516
604	789	515
605	790	514
606	792	512
607	793	511
608	794	509
609	795	508
610	796	507
611	797	505
612	798	504
613	799	502
614	800	501
615	802	500
616	803	498
617	804	497
618	805	496
619	806	494
620	808	493
621	809	491
622	810	490
623	811	488
624	813	487
625	814	486
626	815	485
627	816	483
628	817	482
629	819	481
630	820	479
631	821	478
632	822	476
633	823	475
634	824	474
635	825	472
636	826	471
637	828	469
638	829	468
639	830	467
640	832	465
641	833	464
642	834	463
643	835	461
644	836	460
645	837	458
646	838	457
647	839	455
648	840	454
649	841	452
650	842	451
651	843	450
652	844	448
653	845	447
654	846	445
655	847	444
656	848	442
657	849	441
658	850	439
659	851	438
660	852	437
661	852	435
662	853	434
663	854	432
664	855	431
665	857	429
666	858	428
667	859	427
668	860	425
669	861	424
670	862	423
671	863	421
672	864	420
673	866	418
674	867	417
675	868	416
676	868	414
677	869	413
678	870	411
679	871	410
680	873	408
681	874	407
682	875	406
683	876	404
684	877	403
685	878	402
686	879	400
687	880	399
688	880	397
689	882	396
690	882	394
691	883	393
692	884	391
693	885	390
694	886	389
695	887	387
696	888	386
697	890	385
698	891	383
699	891	382
700	892	380
701	893	379
702	894	378
703	895	376
704	897	375
705	898	374
706	899	372
707	901	371
708	903	370
709	905	369
710	906	368
711	907	367
712	909	365
713	910	364
714	911	363
715	912	362
716	913	360
717	914	359
718	916	358
719	917	356
720	919	355
721	920	354
722	921	353
723	922	351
724	923	350
725	925	349
726	926	347
727	927	346
728	928	345
729	930	343
730	931	342
731	933	341
732	934	340
733	935	339
734	937	337
735	938	336
736	939	335
737	940	334
738	941	332
739	942	331
740	943	329
741	945	328
742	946	327
743	947	325
744	948	324
745	949	323
746	950	321
747	951	320
748	952	319
749	953	317
750	954	316
751	954	314
752	955	313
753	956	312
754	957	310
755	958	309
756	959	308
757	960	306
758	961	305
759	963	304
760	964	302
761	964	301
762	965	300
763	966	298
764	967	297
765	968	295
766	969	294
767	970	293
768	971	291
769	972	290
770	973	289
771	974	287
772	975	286
773	975	284
774	977	283
775	977	282
776	978	280
777	979	279
778	980	278
779	981	276
780	981	275
781	982	273
782	983	272
783	984	271
784	985	269
785	986	268
786	987	267
787	988	265
788	989	264
789	990	263
790	991	261
791	992	260
792	993	259
793	993	257
794	994	256
795	995	255
796	995	253
797	996	252
798	997	250
799	998	249
800	999	248
801	999	246
802	1001	245
803	1002	244
804	1003	243
805	1004	241
806	1004	240
807	1005	239
808	1006	237
809	1007	236
810	1008	235
811	1009	233
812	1010	232
813	1011	231
814	1012	229
815	1013	228
816	1014	227
817	1015	225
818	1016	224
819	1018	223
820	1019	222
821	1020	221
822	1021	219
823	1022	218
824	1023	217
825	1024	215
826	1025	214
827	1026	213
828	1027	211
829	1028	210
830	1029	209
831	1029	207
832	1030	206
833	1031	205
834	1032	204
835	1033	202
836	1034	201
837	1035	200
838	1036	198
839	1037	197
840	1037	196
841	1038	194
842	1039	193
843	1040	192
844	1041	191
845	1042	189
846	1043	188
847	1044	187
848	1045	185
849	1046	184
850	1047	183
851	1048	182
852	1049	180
853	1050	179
854	1051	178
855	1052	177
856	1053	175
857	1054	174
858	1055	173
859	1055	171
860	1056	170
861	1057	169
862	1058	168
863	1059	166
864	1060	165
865	1061	164
866	1062	163
867	1063	161
868	1064	160
869	1065	159
870	1066	158
871	1067	156
872	1068	155
873	1070	154
874	1072	153
875	1073	152
876	1075	150
877	1076	149
878	1077	148
879	1078	147
880	1080	145
881	1081	144
882	1082	143
883	1083	142
884	1084	140
885	1085	139
886	1086	138
887	1087	137
888	1088	135
889	1089	134
890	1090	133
891	1091	132
892	1093	130
893	1094	129
894	1095	128
895	1096	127
896	1097	125
897	1098	124
898	1099	123
899	1100	122
900	1101	121
901	1102	119
902	1104	118
903	1105	117
904	1106	116
905	1107	114
906	1108	113
907	1109	112
908	1110	111
909	1111	109
910	1112	108
911	1113	107
912	1114	106
913	1116	105
914	1117	103
915	1119	102
916	1120	101
917	1121	100
918	1123	98
919	1124	97
920	1125	96
921	1127	95
922	1128	94
923	1130	92
924	1131	91
925	1133	90
926	1134	89
927	1136	88
928	1137	86
929	1138	85
930	1140	84
931	1141	83
932	1143	82
933	1144	80
934	1145	79
935	1147	78
936	1148	77
937	1149	76
938	1151	74
939	1152	73
940	1154	72
941	1155	71
942	1157	69
943	1158	68
944	1161	67
945	1163	66
946	1164	65
947	1165	63
948	1167	62
949	1168	61
950	1171	60
951	1172	59
952	1174	57
953	1176	56
954	1178	55
955	1179	54
956	1181	53
957	1183	51
958	1185	50
959	1186	49
960	1189	48
961	1191	47
962	1193	45
963	1195	44
964	1197	43
965	1198	42
966	1200	40
967	1201	39
968	1204	38
969	1206	37
970	1209	36
971	1211	34
972	1212	33
973	1214	32
974	1215	31
975	1217	29
976	1219	28
977	1220	27
978	1222	26
979	1223	24
980	1225	23
981	1226	22
982	1228	21
983	1229	19
984	1231	18
985	1232	17
986	1234	16
987	1235	15
988	1236	13
989	1238	12
990	1239	11
991	1240	10
992	1242	8
993	1244	7
994	1245	6
995	1247	5
996	1249	3
997	1250	2
998	1252	1
999	1253	0
